model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.6/aten::_convolution/Convolution,2,42,32,32,32,10,18,6,0,32,0.918,65536,2160,0.967,32,39.6,TRUE,0.457142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,43,32,32,32,10,20,6,0,32,0.9121,65536,2400,0.9634,34,220.4,TRUE,0.485714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,44,32,32,32,10,21,6,0,32,0.9092,65536,2520,0.9615,35,86.2,TRUE,0.5
alexnet,__module.features.6/aten::_convolution/Convolution,2,45,32,32,32,10,17,6,0,32,0.9209,65536,2040,0.9689,31,45.9,TRUE,0.442857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,46,32,32,32,10,19,6,0,32,0.915,65536,2280,0.9652,33,40.1,TRUE,0.471428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,47,32,32,32,10,20,6,0,32,0.9121,65536,2400,0.9634,34,124.9,TRUE,0.485714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,48,32,32,32,10,13,6,1,16,0.9326,65536,1560,0.9762,27,82.7,TRUE,0.385714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,49,32,32,32,22,16,9,0,32,0.833,65536,6336,0.9033,45,76.1,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,50,32,32,32,22,17,9,0,32,0.8286,65536,6732,0.8973,46,84.2,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,51,32,32,32,22,17,9,0,32,0.8286,65536,6732,0.8973,46,49.8,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,52,32,32,32,22,15,9,0,32,0.8374,65536,5940,0.9094,44,48.9,TRUE,0.628571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,53,32,32,32,22,18,9,0,32,0.8242,65536,7128,0.8912,47,63.7,TRUE,0.671428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,54,32,32,32,22,18,9,0,32,0.8242,65536,7128,0.8912,47,38.8,TRUE,0.671428571
